#num	address	status	hash160	torus_pos	fraction	hot_bin	priority_zone
1	1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH	solved	751e76e8199196d454941c45d1b3a323f1433bd6	324080	0.634816	-	-
2	1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb	solved	7dd65592d0ab2fe0d0257d571abf032cd9db93dc	429104	0.840540	-	-
3	19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA	solved	5dedfbf9ea599dd4e3ca6a80b333c472fd0b3f69	142897	0.279910	-	-
4	1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e	solved	9652d86bedf43ad264362e6e6eba6eb764508127	60181	0.117884	-	-
5	1E6NuFjCi27W5zoXg8TRdcSRq84zJeBW3k	solved	8f9dff39a81ee4abcbad2ad8bafff090415a2be8	116828	0.228846	4	-
6	1PitScNLyp2HCygzadCh7FveTnfmpPbfp8	solved	f93ec34e9e34a8f8ff7d600cdad83047b1bcb45c	446078	0.873789	17	-
7	1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC	solved	e2192e8a7dd8dd1c88321959b477968b941aa973	20221	0.039609	0	-
8	1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK	solved	dce76b2613052ea012204404a97b3c25eac31715	507985	0.995054	19	-
9	1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV	solved	7d0f6c64afb419bbd7e971e943d7404b0e0daab4	136892	0.268148	-	-
10	1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe	solved	d7729816650e581d7462d52ad6f732da0e2ec93b	43053	0.084333	-	-
11	1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu	solved	f8c698da3164ef8fa4258692d118cc9a902c5acc	390756	0.765423	-	-
12	1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot	solved	85a1f9ba4da24c24e582d9b891dacbd1b043f971	166675	0.326487	-	-
13	1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1	solved	f932d0188616c964416b91fb9cf76ba9790a921e	71902	0.140843	-	-
14	1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkh	solved	029ec74fe5da8b2a70526b5b2622edf18baa917d	81637	0.159913	-	-
15	1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW	solved	fe7c45126731f7384640b0b0045fd40bac72e2a2	274742	0.538172	-	-
16	1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY	solved	7025b4efb3ff42eb4d6d71fab6b53b4f4967e3dd	436477	0.854982	17	-
17	1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm	solved	b67cb6edeabc0c8b927c9ea327628e7aa63e2d52	306860	0.601085	-	-
18	1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE	solved	ad1e852b08eba53df306ec9daa8c643426953f94	108430	0.212395	4	-
19	1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w	solved	ebfbe6819fcdebab061732ce91df7d586a037dee	37888	0.074216	-	-
20	1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum	solved	b907c3a2a3b27789dfb509b730dd47703c272868	443332	0.868410	17	-
21	14oFNXucftsHiUMY8uctg6N487riuyXs4h	solved	29a78213caa9eea824acf08022ab9dfc83414f56	483870	0.947817	-	-
22	1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv	solved	7ff45303774ef7a52fffd8011981034b258cb86b	52775	0.103377	-	-
23	1L2GM8eE7mJWLdo3HZS6su1832NX2txaac	solved	d0a79df189fe1ad5c306cc70497b358415da579e	202450	0.396564	-	-
24	1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7	solved	0959e80121f36aea13b3bad361c15dac26189e2f	243849	0.477658	-	-
25	15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP	solved	2f396b29b27324300d0c59b17c3abc1835bd3dbb	351409	0.688349	-	-
26	1JVnST957hGztonaWK6FougdtjxzHzRMMg	solved	bfebb73562d4541b32a02ba664d140b5a574792f	158055	0.309602	-	-
27	128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k	solved	0c7aaf6caa7e5424b63d317f0f8f1f9fa40d5560	205448	0.402437	-	-
28	12jbtzBb54r97TCwW3G1gCFoumpckRAPdY	solved	1306b9e4ff56513a476841bac7ba48d69516b1da	347596	0.680880	-	-
29	19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT	solved	5a416cc9148f4a377b672c8ae5d3287adaafadec	73968	0.144890	-	-
30	1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps	solved	d39c4704664e1deb76c9331e637564c257d68a08	215678	0.422476	-	-
31	1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE	solved	d805f6f251f7479ebd853b3d0f4b9b2656d92f1d	497325	0.974173	19	-
32	1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR	solved	9e42601eeaedc244e15f17375adb0e2cd08efdc9	78897	0.154545	-	-
33	187swFMjz1G54ycVU56B7jZFHFTNVQFDiu	solved	4e15e5189752d1eaf444dfd6bff399feb0443977	458213	0.897559	17	-
34	1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q	solved	f6d67d7983bf70450f295c9cb828daab265f1bfa	124426	0.243729	4	-
35	1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb	solved	f6d8ce225ffbdecec170f8298c3fc28ae686df25	190909	0.373957	-	-
36	1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1	solved	74b1e012be1521e5d8d75e745a26ced845ea3d37	406793	0.796836	-	-
37	14iXhn8bGajVWegZHJ18vJLHhntcpL4dex	solved	28c30fb9118ed1da72e7c4f89c0164756e8a021d	495123	0.969860	19	-
38	1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2	solved	b190e2d40cfdeee2cee072954a2be89e7ba39364	430856	0.843972	-	-
39	122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8	solved	0b304f2a79a027270276533fe1ed4eff30910876	48584	0.095168	-	-
40	1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv	solved	95a156cd21b4a69de969eb6716864f4c8b82a82a	262448	0.514090	-	-
41	1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E	solved	d1562eb37357f9e6fc41cb2359f4d3eda4032329	100445	0.196754	-	-
42	1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N	solved	8efb85f9c5b5db2d55973a04128dc7510075ae23	465305	0.911451	-	-
43	1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1	solved	f92044c7924e5525c61207972c253c9fc9f086f7	25085	0.049137	0	-
44	1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF	solved	80df54e1f612f2fc5bdc05c9d21a83aa8d20791e	432726	0.847635	-	-
45	1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk	solved	f0225bfc68a6e17e87cd8b5e60ae3be18f120753	275211	0.539090	-	-
46	1F3JRMWudBaj48EhwcHDdpeuy2jwACNxjP	solved	9a012260d01c5113df66c8a8438c9f7a1e3d5dac	292858	0.573658	11	P2 v19+κ
47	1Pd8VvT49sHKsmqrQiP61RsVwmXCZ6ay7Z	solved	f828005d41b0f4fed4c8dca3b06011072cfb07d4	390580	0.765078	-	-
48	1DFYhaB2J9q1LLZJWKTnscPWos9VBqDHzv	solved	8661cb56d9df0a61f01328b55af7e56a3fe7a2b2	394278	0.772322	-	-
49	12CiUhYVTTH33w3SPUBqcpMoqnApAV4WCF	solved	0d2f533966c6578e1111978ca698f8add7fffdf3	350069	0.685724	-	-
50	1MEzite4ReNuWaL5Ds17ePKt2dCxWEofwk	solved	de081b76f840e462fa2cdf360173dfaf4a976a47	411265	0.805596	-	-
